Date,Positive Total,Positive New,7-day confirmed case average
2020-01-29T00:00:00Z,1,1,NA
2020-01-30T00:00:00Z,1,0,NA
2020-01-31T00:00:00Z,1,0,NA
2020-02-01T00:00:00Z,1,0,NA
2020-02-02T00:00:00Z,1,0,NA
2020-02-03T00:00:00Z,1,0,NA
2020-02-04T00:00:00Z,1,0,0.142857143
2020-02-05T00:00:00Z,1,0,0
2020-02-06T00:00:00Z,2,1,0.142857143
2020-02-07T00:00:00Z,2,0,0.142857143
2020-02-08T00:00:00Z,2,0,0.142857143
2020-02-09T00:00:00Z,2,0,0.142857143
2020-02-10T00:00:00Z,2,0,0.142857143
2020-02-11T00:00:00Z,2,0,0.142857143
2020-02-12T00:00:00Z,2,0,0.142857143
2020-02-13T00:00:00Z,2,0,0
2020-02-14T00:00:00Z,2,0,0
2020-02-15T00:00:00Z,2,0,0
2020-02-16T00:00:00Z,2,0,0
2020-02-17T00:00:00Z,2,0,0
2020-02-18T00:00:00Z,2,0,0
2020-02-19T00:00:00Z,2,0,0
2020-02-20T00:00:00Z,2,0,0
2020-02-21T00:00:00Z,2,0,0
2020-02-22T00:00:00Z,2,0,0
2020-02-23T00:00:00Z,2,0,0
2020-02-24T00:00:00Z,2,0,0
2020-02-25T00:00:00Z,2,0,0
2020-02-26T00:00:00Z,2,0,0
2020-02-27T00:00:00Z,2,0,0
2020-02-28T00:00:00Z,2,0,0
2020-02-29T00:00:00Z,2,0,0
2020-03-01T00:00:00Z,3,1,0.142857143
2020-03-02T00:00:00Z,3,0,0.142857143
2020-03-03T00:00:00Z,4,1,0.285714286
2020-03-04T00:00:00Z,6,2,0.571428571
2020-03-05T00:00:00Z,14,8,1.714285714
2020-03-06T00:00:00Z,28,14,3.714285714
2020-03-07T00:00:00Z,72,44,10
2020-03-08T00:00:00Z,91,19,12.57142857
2020-03-09T00:00:00Z,96,5,13.28571429
2020-03-10T00:00:00Z,110,14,15.14285714
2020-03-11T00:00:00Z,132,22,18
2020-03-12T00:00:00Z,161,29,21
2020-03-13T00:00:00Z,222,61,27.71428571
2020-03-14T00:00:00Z,295,73,31.85714286
2020-03-15T00:00:00Z,363,68,38.85714286
2020-03-16T00:00:00Z,513,150,59.57142857
2020-03-17T00:00:00Z,762,249,93.14285714
2020-03-18T00:00:00Z,1021,259,127
2020-03-19T00:00:00Z,1300,279,162.5714286
2020-03-20T00:00:00Z,1688,388,209.2857143
2020-03-21T00:00:00Z,2010,322,244.8571429
2020-03-22T00:00:00Z,2296,286,276
2020-03-23T00:00:00Z,2905,609,341.5714286
2020-03-24T00:00:00Z,3623,718,408.5714286
2020-03-25T00:00:00Z,4370,747,478.1428571
2020-03-26T00:00:00Z,5305,935,572
2020-03-27T00:00:00Z,6248,943,651.2857143
2020-03-28T00:00:00Z,6902,654,698.7142857
2020-03-29T00:00:00Z,7425,523,732.5714286
2020-03-30T00:00:00Z,8663,1238,822.4285714
2020-03-31T00:00:00Z,9929,1266,900.7142857
2020-04-01T00:00:00Z,11267,1338,985.2857143
2020-04-02T00:00:00Z,12542,1275,1033.857143
2020-04-03T00:00:00Z,14021,1479,1110.571429
2020-04-04T00:00:00Z,15183,1162,1183.142857
2020-04-05T00:00:00Z,16160,977,1248
2020-04-06T00:00:00Z,18091,1931,1347.142857
2020-04-07T00:00:00Z,20111,2020,1455
2020-04-08T00:00:00Z,21975,1864,1530.142857
2020-04-09T00:00:00Z,23953,1978,1630.571429
2020-04-10T00:00:00Z,26008,2055,1712.714286
2020-04-11T00:00:00Z,27336,1328,1736.571429
2020-04-12T00:00:00Z,28267,931,1729.857143
2020-04-13T00:00:00Z,30253,1986,1737.571429
2020-04-14T00:00:00Z,33180,2927,1867
2020-04-15T00:00:00Z,35720,2540,1963.571429
2020-04-16T00:00:00Z,38107,2387,2021.857143
2020-04-17T00:00:00Z,41096,2989,2155.285714
2020-04-18T00:00:00Z,42576,1480,2176.857143
2020-04-19T00:00:00Z,43665,1089,2199.571429
2020-04-20T00:00:00Z,46350,2685,2299.428571
2020-04-21T00:00:00Z,48534,2184,2193.571429
2020-04-22T00:00:00Z,51235,2701,2216.857143
2020-04-23T00:00:00Z,53639,2404,2219.571429
2020-04-24T00:00:00Z,55911,2272,2117.428571
2020-04-25T00:00:00Z,57403,1492,2119.142857
2020-04-26T00:00:00Z,58247,844,2084.142857
2020-04-27T00:00:00Z,60374,2127,2004.571429
2020-04-28T00:00:00Z,62477,2103,1992.714286
2020-04-29T00:00:00Z,64662,2185,1918.714286
2020-04-30T00:00:00Z,66708,2046,1867.571429
2020-05-01T00:00:00Z,68788,2080,1840
2020-05-02T00:00:00Z,69817,1029,1773.857143
2020-05-03T00:00:00Z,70550,733,1758
2020-05-04T00:00:00Z,72427,1877,1722.285714
2020-05-05T00:00:00Z,74159,1732,1669.428571
2020-05-06T00:00:00Z,75855,1696,1599.857143
2020-05-07T00:00:00Z,77529,1674,1547
2020-05-08T00:00:00Z,78978,1449,1457.285714
2020-05-09T00:00:00Z,79660,682,1407.714286
2020-05-10T00:00:00Z,80044,384,1358
2020-05-11T00:00:00Z,81347,1303,1276.142857
2020-05-12T00:00:00Z,82796,1449,1235.714286
2020-05-13T00:00:00Z,84107,1311,1180.428571
2020-05-14T00:00:00Z,85421,1314,1128.714286
2020-05-15T00:00:00Z,86524,1103,1079
2020-05-16T00:00:00Z,87168,644,1073.714286
2020-05-17T00:00:00Z,87531,363,1070.571429
2020-05-18T00:00:00Z,88841,1310,1071.428571
2020-05-19T00:00:00Z,89912,1071,1017.571429
2020-05-20T00:00:00Z,90923,1011,974.7142857
2020-05-21T00:00:00Z,91885,962,924.4285714
2020-05-22T00:00:00Z,92747,862,889.7142857
2020-05-23T00:00:00Z,93133,386,852.8571429
2020-05-24T00:00:00Z,93434,301,844
2020-05-25T00:00:00Z,93632,198,685
2020-05-26T00:00:00Z,94496,864,655.1428571
2020-05-27T00:00:00Z,95182,686,608.8571429
2020-05-28T00:00:00Z,95821,639,562.5714286
2020-05-29T00:00:00Z,96351,530,515.1428571
2020-05-30T00:00:00Z,96621,270,498.5714286
2020-05-31T00:00:00Z,96782,161,478.5714286
2020-06-01T00:00:00Z,97290,508,522.8571429
2020-06-02T00:00:00Z,97736,446,463.2857143
2020-06-03T00:00:00Z,98195,459,430.7142857
2020-06-04T00:00:00Z,98573,378,393.4285714
2020-06-05T00:00:00Z,98910,337,365.8571429
2020-06-06T00:00:00Z,99058,148,348.2857143
2020-06-07T00:00:00Z,99209,151,346.8571429
2020-06-08T00:00:00Z,99559,350,324.5714286
2020-06-09T00:00:00Z,99900,341,309.7142857
2020-06-10T00:00:00Z,100159,259,281.1428571
2020-06-11T00:00:00Z,100385,226,259.4285714
2020-06-12T00:00:00Z,100639,254,247.5714286
2020-06-13T00:00:00Z,100735,96,240.2857143
2020-06-14T00:00:00Z,100811,76,229.5714286
2020-06-15T00:00:00Z,101047,236,212.8571429
2020-06-16T00:00:00Z,101245,198,192.1428571
2020-06-17T00:00:00Z,101493,248,190.5714286
2020-06-18T00:00:00Z,101733,240,192.5714286
2020-06-19T00:00:00Z,101907,174,181.2857143
2020-06-20T00:00:00Z,102000,93,180.7142857
2020-06-21T00:00:00Z,102079,79,181.1428571
2020-06-22T00:00:00Z,102303,224,179.5714286
2020-06-23T00:00:00Z,102491,188,178.2857143
2020-06-24T00:00:00Z,102701,210,172.8571429
2020-06-25T00:00:00Z,102907,206,168
2020-06-26T00:00:00Z,103105,198,171.2857143
2020-06-27T00:00:00Z,103239,134,177.1428571
2020-06-28T00:00:00Z,103310,71,176
2020-06-29T00:00:00Z,103515,205,173.2857143
2020-06-30T00:00:00Z,103735,220,177.7142857
2020-07-01T00:00:00Z,103951,216,178.5714286
2020-07-02T00:00:00Z,104177,226,181.4285714
2020-07-03T00:00:00Z,104276,99,167.2857143
2020-07-04T00:00:00Z,104336,60,156.7142857
2020-07-05T00:00:00Z,104437,101,161
2020-07-06T00:00:00Z,104674,237,165.5714286
2020-07-07T00:00:00Z,104915,241,168.5714286
2020-07-08T00:00:00Z,105131,216,168.5714286
2020-07-09T00:00:00Z,105385,254,172.5714286
2020-07-10T00:00:00Z,105613,228,191
2020-07-11T00:00:00Z,105730,117,199.1428571
2020-07-12T00:00:00Z,105817,87,197.1428571
2020-07-13T00:00:00Z,106083,266,201.2857143
2020-07-14T00:00:00Z,106315,232,200
2020-07-15T00:00:00Z,106613,298,211.7142857
2020-07-16T00:00:00Z,106858,245,210.2857143
2020-07-17T00:00:00Z,107085,227,210.1428571
2020-07-18T00:00:00Z,107213,128,211.7142857
2020-07-19T00:00:00Z,107287,74,209.8571429
2020-07-20T00:00:00Z,107566,279,211.7142857
2020-07-21T00:00:00Z,107821,255,215
2020-07-22T00:00:00Z,108079,258,209.2857143
2020-07-23T00:00:00Z,108337,258,211.2857143
2020-07-24T00:00:00Z,108594,257,215.5714286
2020-07-25T00:00:00Z,108754,160,220
2020-07-26T00:00:00Z,108854,100,223.8571429
2020-07-27T00:00:00Z,109215,361,235.5714286
2020-07-28T00:00:00Z,109535,320,244.8571429
2020-07-29T00:00:00Z,109854,319,253.5714286
2020-07-30T00:00:00Z,110190,336,264.7142857
2020-07-31T00:00:00Z,110509,319,273.5714286
2020-08-01T00:00:00Z,110657,148,271.8571429
2020-08-02T00:00:00Z,110764,107,273
2020-08-03T00:00:00Z,111122,358,272.5714286
2020-08-04T00:00:00Z,111429,307,270.8571429
2020-08-05T00:00:00Z,111762,333,272.8571429
2020-08-06T00:00:00Z,112116,354,275.4285714
2020-08-07T00:00:00Z,112415,299,272.5714286
2020-08-08T00:00:00Z,112584,169,275.7142857
2020-08-09T00:00:00Z,112669,85,272.2857143
2020-08-10T00:00:00Z,113041,372,274.5714286
2020-08-11T00:00:00Z,113325,284,271.1428571
2020-08-12T00:00:00Z,113629,304,267
2020-08-13T00:00:00Z,113978,349,266.2857143
2020-08-14T00:00:00Z,114321,343,272.4285714
2020-08-15T00:00:00Z,114472,151,269.8571429
2020-08-16T00:00:00Z,114592,120,274.8571429
2020-08-17T00:00:00Z,114961,369,274.1428571
2020-08-18T00:00:00Z,115341,380,288
2020-08-19T00:00:00Z,115677,336,292.7142857
2020-08-20T00:00:00Z,116034,357,293.7142857
2020-08-21T00:00:00Z,116317,283,285.2857143
2020-08-22T00:00:00Z,116465,148,284.8571429
2020-08-23T00:00:00Z,116557,92,280.8571429
2020-08-24T00:00:00Z,116951,394,284.7142857
2020-08-25T00:00:00Z,117329,378,284.4285714
